algo,dataset,n,avg_time_us,avg_char_ops
StringMergeSortLCP,random,2300,434.857,32263
StringMergeSortLCP,reversed,2300,524.571,20155
StringMergeSortLCP,nearly,2300,277,25533
MSDRadix,random,2300,206.429,10760
MSDRadix,reversed,2300,198.286,10760
MSDRadix,nearly,2300,231.714,10760
MSDRadixCutover,random,2300,265.714,16090
MSDRadixCutover,reversed,2300,281,36826
MSDRadixCutover,nearly,2300,128.571,19120
StringQuickSort,random,2400,284.857,30169
StringQuickSort,reversed,2400,704.571,117309
StringQuickSort,nearly,2400,650.857,87351
StringMergeSortLCP,random,2400,414.714,33895
StringMergeSortLCP,reversed,2400,205.714,21489
StringMergeSortLCP,nearly,2400,226.571,25981
MSDRadix,random,2400,353.714,11268
MSDRadix,reversed,2400,288,11268
MSDRadix,nearly,2400,221.286,11268
MSDRadixCutover,random,2400,136.857,16925
MSDRadixCutover,reversed,2400,225.857,39602
MSDRadixCutover,nearly,2400,112.714,20264
StringQuickSort,random,2500,385.714,30387
StringQuickSort,reversed,2500,679.714,124005
StringQuickSort,nearly,2500,619.714,83768
StringMergeSortLCP,random,2500,685.143,35636
StringMergeSortLCP,reversed,2500,192.571,22624
StringMergeSortLCP,nearly,2500,237,28016
MSDRadix,random,2500,233.714,11796
MSDRadix,reversed,2500,215.714,11796
MSDRadix,nearly,2500,344.286,11796
MSDRadixCutover,random,2500,247.714,17858
MSDRadixCutover,reversed,2500,236.857,42334
MSDRadixCutover,nearly,2500,127.429,21411
StringQuickSort,random,2600,358.286,33089
StringQuickSort,reversed,2600,1105.57,128639
StringQuickSort,nearly,2600,428.857,79113
StringMergeSortLCP,random,2600,444.857,37355
StringMergeSortLCP,reversed,2600,688.857,23767
StringMergeSortLCP,nearly,2600,275.571,30324
MSDRadix,random,2600,320.714,12348
MSDRadix,reversed,2600,490.429,12348
MSDRadix,nearly,2600,391.857,12348
MSDRadixCutover,random,2600,203.429,18815
MSDRadixCutover,reversed,2600,286,45082
MSDRadixCutover,nearly,2600,212.714,22102
StringQuickSort,random,2700,376.571,32509
StringQuickSort,reversed,2700,1123.71,134526
StringQuickSort,nearly,2700,1047.14,78054
StringMergeSortLCP,random,2700,712.571,39173
StringMergeSortLCP,reversed,2700,365.714,24919
StringMergeSortLCP,nearly,2700,262.143,31909
MSDRadix,random,2700,258.143,12918
MSDRadix,reversed,2700,274.286,12918
MSDRadix,nearly,2700,350.714,12918
MSDRadixCutover,random,2700,274,19697
MSDRadixCutover,reversed,2700,287.714,47856
MSDRadixCutover,nearly,2700,137.571,23026
StringQuickSort,random,2800,334.857,34848
StringQuickSort,reversed,2800,1120.86,139340
StringQuickSort,nearly,2800,844.286,111449
StringMergeSortLCP,random,2800,786,40877
StringMergeSortLCP,reversed,2800,236.571,26000
StringMergeSortLCP,nearly,2800,263.571,33450
MSDRadix,random,2800,264.286,13468
MSDRadix,reversed,2800,327.714,13468
MSDRadix,nearly,2800,413.143,13468
MSDRadixCutover,random,2800,196.286,20533
MSDRadixCutover,reversed,2800,279,50807
MSDRadixCutover,nearly,2800,146.429,24518
StringQuickSort,random,2900,352,38064
StringQuickSort,reversed,2900,887.286,145637
StringQuickSort,nearly,2900,590,110942
StringMergeSortLCP,random,2900,565.714,42701
StringMergeSortLCP,reversed,2900,304,27233
StringMergeSortLCP,nearly,2900,271.714,34109
MSDRadix,random,2900,305.857,14002
MSDRadix,reversed,2900,380.857,14002
MSDRadix,nearly,2900,312.714,14002
MSDRadixCutover,random,2900,289.857,21200
MSDRadixCutover,reversed,2900,323,53765
MSDRadixCutover,nearly,2900,159.429,24963
StringQuickSort,random,3000,421.429,39570
StringQuickSort,reversed,3000,1039.71,152551
StringQuickSort,nearly,3000,671.429,120672
StringMergeSortLCP,random,3000,722.286,44376
StringMergeSortLCP,reversed,3000,306.143,28175
StringMergeSortLCP,nearly,3000,333.571,36420
MSDRadix,random,3000,391.143,14534
MSDRadix,reversed,3000,634.571,14534
MSDRadix,nearly,3000,297.714,14534
MSDRadixCutover,random,3000,193.143,22207
MSDRadixCutover,reversed,3000,317,57006
MSDRadixCutover,nearly,3000,174,26426
